"code";"text";"markdown"
"DiakonoffDorst1982";"Diakonoff, A. & Dorst, R. F., 1982. Bijdragen tot de faunistiek van Nederland 9. Het onderscheiden van de Nederlandse bladrollersoorten van het geslacht Acleris Hübner (Lepidoptera, Tortricidae). — Zoologische Bijdragen 28: 101-125.";"**Diakonoff, A. &amp; Dorst, R. F.**, 1982. Bijdragen tot de faunistiek van Nederland 9. Het onderscheiden van de Nederlandse bladrollersoorten van het geslacht *Acleris* H&uuml;bner (Lepidoptera, Tortricidae). - *Zoologische Bijdragen* **28**: 101-125."
"Dickson2002";"Dickson, R. J., 2002. Blastobasidae. In: Emmet, A. M. & Langmaid, J. P. (Eds.): The Moths and Butterflies of Great Britain and Ireland. Volume 4 (Part 1) Oecophoridae-Scythrididae. — Harley Books Ltd., Great Horkesley, 326 pp., 6 colour plates [pp. 196-203].";"**Dickson, R. J.**, 2002. Blastobasidae. In: Emmet, A. M. &amp; Langmaid, J. P. (Eds.): *The Moths and Butterflies of Great Britain and Ireland. Volume 4 (Part 1) Oecophoridae-Scythrididae*. - Harley Books Ltd., Great Horkesley, 326 pp., 6 colour plates [pp. 196-203]. "
"DonckierdeDonceel1882";"Donckier de Donceel, Ch., 1882. Catalogue des Lépidoptères de Belgique. — Annales de la Société entomologique de Belgique 26: 5-161.";"**Donckier de Donceel, Ch.**, 1882. Catalogue des L&eacute;pidopt&egrave;res de Belgique. - *Annales de la Soci&eacute;t&eacute; entomologique de Belgique* **26**: 5-161."
"Dubois1884";"Dubois, A., 1884. Les Lépidoptères de la Belgique, leurs chenilles et leurs chrysalides décrits et figurés d'après nature. Tome troisième. — Librairie C. Muquardt, Merzbach et Falck Succrs, Bruxelles, Leipzig. p. I-XXXII, colour plates 282-421, suppl. plates 1-2 with opposite text (not numbered).";"**Dubois, A.**, 1884. *Les L&eacute;pidopt&egrave;res de la Belgique, leurs chenilles et leurs chrysalides d&eacute;crits et figur&eacute;s d'apr&egrave;s nature. Tome troisi&egrave;me.* - Librairie C. Muquardt, Merzbach et Falck Succrs, Bruxelles, Leipzig. p. I-XXXII, colour plates 282-421, suppl. plates 1-2 with opposite text (not numbered)."
"Dubois1874";"Dubois, Ch.-F. & Dubois, A., 1874. Les Lépidoptères de la Belgique, leurs chenilles et leurs chrysalides décrits et figurés d'après nature. Tome premier. — Librairie C. Muquardt, Merzbach et Falck Succrs, Bruxelles, Leipzig, Gand. p. I-LXVI, 1-19, 122 colour plates with opposite text (not numbered).";"**Dubois, Ch.-F. &amp; Dubois, A.**, 1874. *Les L&eacute;pidopt&egrave;res de la Belgique, leurs chenilles et leurs chrysalides d&eacute;crits et figur&eacute;s d'apr&egrave;s nature. Tome premier.* - Librairie C. Muquardt, Merzbach et Falck Succrs, Bruxelles, Leipzig, Gand. p. I-LXVI, 1-19, 122 colour plates with opposite text (not numbered)."
"Dubois1880";"Dubois, Ch.-F. & Dubois, A., 1880. Les Lépidoptères de la Belgique, leurs chenilles et leurs chrysalides décrits et figurés d'après nature. Tome second. — Librairie C. Muquardt, Merzbach et Falck Succrs, Bruxelles, Leipzig. p. I-XXIX, colour plates 123-281 with opposite text (not numbered).";" **Dubois, Ch.-F. &amp; Dubois, A.**, 1880. *Les L&eacute;pidopt&egrave;res de la Belgique, leurs chenilles et leurs chrysalides d&eacute;crits et figur&eacute;s d'apr&egrave;s nature. Tome second.* - Librairie C. Muquardt, Merzbach et Falck Succrs, Bruxelles, Leipzig. p. I-XXIX, colour plates 123-281 with opposite text (not numbered)."
"EbertRennwald1991";"Ebert, G. & Rennwald, E., 1991. Die Schmetterlinge Baden-Württembergs. Band I-II Tagfalter. — Eugen Ulmer Verlag, Stuttgart, 552, 535 p.";"**Ebert, G. &amp; Rennwald, E.**, 1991. *Die Schmetterlinge Baden-W&uuml;rttembergs. Band I-II Tagfalter*. - Eugen Ulmer Verlag, Stuttgart, 552, 535 p."
"EfetovTarmann1999";"Efetov, K. A. & Tarmann, G. M., 1999. Forester Moths. — Apollo Books, Stenstrup, 192 pp., 12 colour plates.";"**Efetov, K. A. &amp; Tarmann, G. M.**, 1999. *Forester Moths*. - Apollo Books, Stenstrup, 192 pp., 12 colour plates."
"Elsneratal1999";"Elsner, G., Huemer, P. & Tokár, Z., 1999. Die Palpenmotten (Lepidoptera, Gelechiidae) mitteleuropas. Bestimmung - Verbreitung - Flugstandort - Lebensweise der Raupen. — Frantisek Slamka, Bratislava, 208 pp., incl. 28 colour plates.";"**Elsner, G., Huemer, P. &amp; Tok&aacute;r, Z.**, 1999. *Die Palpenmotten (Lepidoptera, Gelechiidae) mitteleuropas. Bestimmung - Verbreitung - Flugstandort - Lebensweise der Raupen*. - Frantisek Slamka, Bratislava, 208 pp., incl. 28 colour plates."
"Emmet1976a";"Emmet, A. M., 1976a. Nepticulidae. In: Heath, J. (ed.): The Moths and Butterflies of Great Britain and Ireland. Volume I: Micropterigidae - Heliozelidae. — Blackwell Scientific Publications Ltd and The Curwen Press Ltd, 343 p.";"**Emmet, A. M.**, 1976a. Nepticulidae. In: Heath, J. (ed.): *The Moths and Butterflies of Great Britain and Ireland. Volume I: Micropterigidae - Heliozelidae*. - Blackwell Scientific Publications Ltd and The Curwen Press Ltd, 343 p."
"Emmet1976b";"Emmet, A. M., 1976b. Heliozelidae. In: Heath, J. (ed.): The Moths and Butterflies of Great Britain and Ireland. Volume I: Micropterigidae - Heliozelidae. — Blackwell Scientific Publications Ltd and The Curwen Press Ltd, 343 p.";"**Emmet, A. M.**, 1976b. Heliozelidae. In: Heath, J. (ed.): *The Moths and Butterflies of Great Britain and Ireland. Volume I: Micropterigidae - Heliozelidae*. - Blackwell Scientific Publications Ltd and The Curwen Press Ltd, 343 p."
"Emmet1976c";"Emmet, A. M., 1976c. Tischeriidae. In: Heath, J. (ed.): The Moths and Butterflies of Great Britain and Ireland. Volume I: Micropterigidae - Heliozelidae. — Blackwell Scientific Publications Ltd and The Curwen Press Ltd, 343 p.";"**Emmet, A. M.**, 1976c. Tischeriidae. In: Heath, J. (ed.): *The Moths and Butterflies of Great Britain and Ireland. Volume I: Micropterigidae - Heliozelidae*. - Blackwell Scientific Publications Ltd and The Curwen Press Ltd, 343 p."
"Emmet1985";"Emmet, A. M., 1985. Families Ochsenheimeriidae, Lyonetiidae, Phyllocnistidae, Bucculatriginae and Heliodinidae. In: Heath, J. & Emmet, A. M. (Eds.): The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae. — Harley Books, Colchester, 460 p. (2 pls, 11 colour plates).";"**Emmet, A. M.**, 1985. Families Ochsenheimeriidae, Lyonetiidae, Phyllocnistidae, Bucculatriginae and Heliodinidae. In: Heath, J. &amp; Emmet, A. M. (Eds.): *The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae*. - Harley Books, Colchester, 460 p. (2 pls, 11 colour plates)."
